Area,Date,date,Claims
Clay County,05/30/2020,May 30,48
Clay County,06/06/2020,Jun 06,53
Clay County,06/13/2020,Jun 13,52
Clay County,06/20/2020,Jun 20,49
Clay County,06/27/2020,Jun 27,48
Clay County,07/04/2020,Jul 04,49
Clay County,07/11/2020,Jul 11,54
Clay County,07/18/2020,Jul 18,41
Clay County,07/25/2020,Jul 25,36
Clayton County,03/07/2020,Mar 07,144
Clayton County,03/14/2020,Mar 14,181
Clayton County,03/21/2020,Mar 21,523
Clayton County,03/28/2020,Mar 28,3913
Clayton County,04/04/2020,Apr 04,14597
Clayton County,04/11/2020,Apr 11,10185
Clayton County,04/18/2020,Apr 18,7210
Clayton County,04/25/2020,Apr 25,9048
Clayton County,05/02/2020,May 02,8900
Clayton County,05/09/2020,May 09,8329
Clayton County,05/16/2020,May 16,6509
Clayton County,05/23/2020,May 23,6008
Clayton County,05/30/2020,May 30,5639
Clayton County,06/06/2020,Jun 06,5679
